Ammonia(N),Temp Water,pH,O Diss %sat,Orthophospht,target
0.03,4.8,7.74,97.5,0.061,0
0.092,5.3,7.61,75.0,0.096,0
0.03,4.8,8.22,100.1,0.01,0
0.03,6.8,8.16,101.4,0.01,0
0.065,6.5,8.31,103.1,0.018,0
0.7890097962962963,5.3,7.7639590666403,96.8,0.1352702980688497,0
0.29,5.7,8.24,94.3,0.12,0
0.042,2.8,8.12,95.0,0.087,0
0.044,5.6,7.99,92.6,0.096,0
0.037,4.7,7.99,91.6,0.1,0
0.03,5.6,8.12,94.5,0.077,0
0.058,3.3,7.96,91.2,0.077,0
0.055,5.8,7.76,85.6,0.076,0
0.054,5.0,7.77,85.5,0.083,0
1.3,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.03,6.5,8.12,97.8,0.031,0
0.14,7.1,8.31,93.7,0.082,0
0.092,4.6,8.14,95.4,0.49,0
11.0,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.099,4.1,8.04,94.0,0.18,0
0.32,6.7,8.09,89.3,0.4,0
0.7890097962962963,5.1,7.7639590666403,96.5,0.1352702980688497,0
0.042,7.4,7.74,93.2,2.4,0
0.068,2.9,8.32,98.2,0.041,0
7.1,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.039,3.9,8.1,100.7,0.089,0
0.03,5.4,7.62,56.5,0.038,0
0.074,6.0,8.01,100.2,0.13,0
0.22,11.3,7.09,62.4,0.084,0
45.0,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.13,6.8,8.28,98.3,0.11,0
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.03,4.3,7.83,101.9,0.015,0
0.056,4.9,8.04,99.4,0.031,0
0.13,5.1,7.89,98.8,0.12,0
0.03,6.1,8.17,98.2,0.015,0
0.03,3.3,8.25,98.6,0.057,0
0.042,2.2,8.37,98.4,0.088,0
0.036,4.1,8.29,98.8,0.059,0
0.03,5.1,8.21,95.4,0.048,0
0.44,3.9,7.16,70.3,0.021,0
0.22,5.9,8.17,100.8,0.15,0
0.03,2.8,8.15,98.4,0.042,0
0.03,4.6,8.19,101.7,0.028,0
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.03,6.4,8.11,94.2,0.01,0
0.15,6.5,8.17,97.7,0.029,0
0.078,1.1,7.59,81.8,0.08,0
0.26,4.1,7.8,88.7,0.19,0
0.25,5.3,7.42,73.3,0.016,0
0.12,3.9,8.33,98.0,0.09,0
0.042,4.2,8.39,98.6,0.021,0
0.11,5.0,8.03,111.1,0.1,0
0.36,7.0,7.92,88.3,0.037,0
0.097,5.6,7.87,91.6,0.034,0
0.13,7.2,8.03,93.8,0.023,0
0.041,7.3,7.91,96.8,0.028,0
0.7890097962962963,5.9,8.31,107.3,0.1352702980688497,0
0.7890097962962963,5.9,8.3,107.6,0.1352702980688497,0
0.03,3.3,8.39,102.3,0.065,0
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.13,6.5,8.17,95.9,0.13,0
0.68,4.5,7.94,91.2,0.22,0
0.14,6.7,8.35,90.9,0.24,0
0.31,5.5,7.99,93.3,0.21,0
0.042,7.1,8.01,99.7,0.018,0
0.075,4.6,8.04,89.7,0.048,0
0.03,7.4,8.18,101.4,0.014,0
0.03,3.9,8.27,97.2,0.01,0
0.075,6.6,8.13,96.7,0.065,0
0.03,5.5,8.1,99.8,0.058,0
0.037,4.4,8.3,98.6,0.047,0
0.041,5.5,8.13,96.6,0.066,0
0.082,5.6,8.09,94.8,0.12,0
0.081,5.4,8.07,97.5,0.13,0
6.2,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
3.7,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.03,5.1,8.11,97.2,0.052,0
0.041,2.9,7.96,94.3,0.058,0
0.03,9.1,7.74,86.1,0.021,0
0.03,7.0,7.84,92.6,0.021,0
0.032,7.1,8.2,97.7,0.036,0
0.068,6.1,8.48,99.1,0.032,0
0.03,6.1,8.5,97.5,0.073,0
0.71,4.8,8.07,96.3,0.077,0
0.85,3.9,8.01,95.9,0.082,0
0.072,5.3,8.01,98.7,0.058,0
0.37,5.2,8.05,95.2,0.25,0
0.15,6.7,7.87,92.4,0.18,0
0.26,5.2,8.23,96.3,0.23,0
0.064,5.3,8.32,97.4,0.19,0
0.033,0.9,8.15,97.7,0.045,0
1.8,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.056,5.8,8.22,96.0,0.063,0
0.04,1.5,8.19,96.2,0.056,0
0.044,4.7,8.24,98.1,0.031,0
0.17,4.4,8.1,93.6,0.087,0
0.1,6.9,7.89,91.9,0.039,0
0.03,6.9,8.11,95.7,0.089,0
0.03,5.8,8.22,99.9,0.078,0
0.03,6.8,8.18,97.1,0.083,0
0.03,11.6,7.2,35.6,0.11,0
0.03,4.5,8.14,99.2,0.028,0
0.062,4.8,7.89,116.9,0.011,0
0.052,3.9,8.03,96.6,0.036,0
0.03,6.4,8.14,101.8,0.026,0
0.034,6.6,8.33,96.2,0.026,0
