index,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Battery Life,Measurement Timestamp Label,Measurement ID
30322,Ohio Street Beach,07/04/2017 03:00:00 PM,22.5,1.26,,0.187,3.0,11.1,07/04/2017 3:00 PM,OhioStreetBeach201707041500
30323,Ohio Street Beach,07/04/2017 04:00:00 PM,22.2,1.28,,0.187,3.0,11.1,07/04/2017 4:00 PM,OhioStreetBeach201707041600
30324,Ohio Street Beach,07/04/2017 05:00:00 PM,21.9,0.91,,0.187,3.0,11.1,07/04/2017 5:00 PM,OhioStreetBeach201707041700
30325,Ohio Street Beach,07/04/2017 06:00:00 PM,21.8,1.26,,0.187,3.0,11.1,07/04/2017 6:00 PM,OhioStreetBeach201707041800
30326,Ohio Street Beach,07/04/2017 07:00:00 PM,21.6,1.01,,0.187,3.0,11.1,07/04/2017 7:00 PM,OhioStreetBeach201707041900
30327,Ohio Street Beach,07/04/2017 08:00:00 PM,21.5,1.03,,0.187,3.0,11.1,07/04/2017 8:00 PM,OhioStreetBeach201707042000
30328,Ohio Street Beach,07/04/2017 09:00:00 PM,21.4,1.14,,0.187,3.0,11.1,07/04/2017 9:00 PM,OhioStreetBeach201707042100
30329,Ohio Street Beach,07/04/2017 10:00:00 PM,21.2,0.85,,0.187,3.0,11.1,07/04/2017 10:00 PM,OhioStreetBeach201707042200
30330,Ohio Street Beach,07/04/2017 11:00:00 PM,21.1,1.07,,0.187,3.0,11.1,07/04/2017 11:00 PM,OhioStreetBeach201707042300
30331,Ohio Street Beach,07/05/2017 12:00:00 AM,21.0,1.02,,0.187,3.0,11.1,07/05/2017 12:00 AM,OhioStreetBeach201707052400
30332,Calumet Beach,08/17/2016 11:00:00 AM,23.9,2.69,,0.123,4.0,11.7,08/17/2016 11:00 AM,CalumetBeach201608171100
30333,Montrose Beach,08/17/2016 11:00:00 AM,24.1,0.0,,0.1,3.0,11.4,08/17/2016 11:00 AM,MontroseBeach201608171100
30334,Ohio Street Beach,08/17/2016 11:00:00 AM,23.6,1.11,,0.105,3.0,10.5,08/17/2016 11:00 AM,OhioStreetBeach201608171100
30335,Calumet Beach,08/17/2016 01:00:00 PM,23.9,2.04,,0.203,2.0,11.7,08/17/2016 1:00 PM,CalumetBeach201608171300
30336,Montrose Beach,08/17/2016 01:00:00 PM,24.3,0.0,,0.121,3.0,11.3,08/17/2016 1:00 PM,MontroseBeach201608171300
30337,Ohio Street Beach,08/17/2016 01:00:00 PM,24.4,1.1,,0.113,3.0,10.5,08/17/2016 1:00 PM,OhioStreetBeach201608171300
30338,Calumet Beach,08/17/2016 02:00:00 PM,23.9,2.06,,0.156,2.0,11.7,08/17/2016 2:00 PM,CalumetBeach201608171400
30339,Montrose Beach,08/17/2016 02:00:00 PM,24.5,0.0,,0.157,5.0,11.4,08/17/2016 2:00 PM,MontroseBeach201608171400
30340,Ohio Street Beach,08/17/2016 02:00:00 PM,24.8,1.06,,0.108,2.0,10.5,08/17/2016 2:00 PM,OhioStreetBeach201608171400
30341,Calumet Beach,08/17/2016 03:00:00 PM,23.8,1.91,,0.118,3.0,11.7,08/17/2016 3:00 PM,CalumetBeach201608171500
30342,Montrose Beach,08/17/2016 03:00:00 PM,24.5,0.0,,0.117,3.0,11.4,08/17/2016 3:00 PM,MontroseBeach201608171500
30343,Ohio Street Beach,08/17/2016 03:00:00 PM,25.1,1.15,,0.131,3.0,10.5,08/17/2016 3:00 PM,OhioStreetBeach201608171500
30344,Calumet Beach,08/17/2016 04:00:00 PM,23.8,1.82,,0.199,3.0,11.7,08/17/2016 4:00 PM,CalumetBeach201608171600
30345,Montrose Beach,08/17/2016 04:00:00 PM,25.5,0.0,,0.17,3.0,11.2,08/17/2016 4:00 PM,MontroseBeach201608171600
30346,Ohio Street Beach,08/17/2016 04:00:00 PM,25.5,1.57,,0.117,3.0,10.5,08/17/2016 4:00 PM,OhioStreetBeach201608171600
30347,Calumet Beach,08/17/2016 05:00:00 PM,23.7,2.21,,0.115,3.0,11.7,08/17/2016 5:00 PM,CalumetBeach201608171700
30348,Montrose Beach,08/17/2016 05:00:00 PM,25.3,0.0,,0.133,8.0,11.3,08/17/2016 5:00 PM,MontroseBeach201608171700
30349,Ohio Street Beach,08/17/2016 05:00:00 PM,25.0,1.52,,0.152,3.0,10.5,08/17/2016 5:00 PM,OhioStreetBeach201608171700
30350,Calumet Beach,08/17/2016 06:00:00 PM,23.7,1.84,,0.258,2.0,11.7,08/17/2016 6:00 PM,CalumetBeach201608171800
30351,Montrose Beach,08/17/2016 06:00:00 PM,25.6,0.0,,0.12,7.0,11.3,08/17/2016 6:00 PM,MontroseBeach201608171800
30352,Ohio Street Beach,08/17/2016 06:00:00 PM,24.8,1.74,,0.174,2.0,10.5,08/17/2016 6:00 PM,OhioStreetBeach201608171800
30353,Calumet Beach,08/17/2016 08:00:00 PM,23.6,1.63,,0.139,3.0,11.7,08/17/2016 8:00 PM,CalumetBeach201608172000
30354,Montrose Beach,08/17/2016 08:00:00 PM,24.9,0.0,,0.109,5.0,11.3,08/17/2016 8:00 PM,MontroseBeach201608172000
30355,Ohio Street Beach,08/17/2016 08:00:00 PM,24.6,2.15,,0.135,3.0,10.5,08/17/2016 8:00 PM,OhioStreetBeach201608172000
30356,Calumet Beach,08/17/2016 10:00:00 PM,23.4,1.47,,0.14,4.0,11.7,08/17/2016 10:00 PM,CalumetBeach201608172200
30357,Montrose Beach,08/17/2016 10:00:00 PM,24.4,0.0,,0.13,4.0,11.3,08/17/2016 10:00 PM,MontroseBeach201608172200
30358,Ohio Street Beach,08/17/2016 10:00:00 PM,24.4,2.21,,0.159,3.0,10.5,08/17/2016 10:00 PM,OhioStreetBeach201608172200
30359,Calumet Beach,08/17/2016 11:00:00 PM,23.4,1.17,,0.188,2.0,11.7,08/17/2016 11:00 PM,CalumetBeach201608172300
30360,Montrose Beach,08/17/2016 11:00:00 PM,24.3,0.0,,0.11,4.0,11.3,08/17/2016 11:00 PM,MontroseBeach201608172300
30361,Ohio Street Beach,08/17/2016 11:00:00 PM,24.4,2.25,,0.114,2.0,10.5,08/17/2016 11:00 PM,OhioStreetBeach201608172300
30362,Calumet Beach,08/18/2016 12:00:00 AM,23.4,1.3,,0.135,3.0,11.7,08/18/2016 12:00 AM,CalumetBeach201608182400
30363,Montrose Beach,08/18/2016 12:00:00 AM,24.2,0.0,,0.126,7.0,11.3,08/18/2016 12:00 AM,MontroseBeach201608182400
30364,Ohio Street Beach,08/18/2016 12:00:00 AM,24.3,2.34,,0.115,2.0,10.5,08/18/2016 12:00 AM,OhioStreetBeach201608182400
30365,Calumet Beach,08/18/2016 01:00:00 AM,23.4,1.18,,0.124,4.0,11.7,08/18/2016 1:00 AM,CalumetBeach201608180100
30366,Montrose Beach,08/18/2016 01:00:00 AM,24.1,0.0,,0.125,6.0,11.3,08/18/2016 1:00 AM,MontroseBeach201608180100
30367,Ohio Street Beach,08/18/2016 01:00:00 AM,24.2,2.12,,0.091,6.0,10.4,08/18/2016 1:00 AM,OhioStreetBeach201608180100
30368,Ohio Street Beach,05/30/2017 08:00:00 PM,16.6,1.35,,0.187,3.0,10.8,05/30/2017 8:00 PM,OhioStreetBeach201705302000
30369,Ohio Street Beach,05/30/2017 09:00:00 PM,16.6,1.32,,0.187,3.0,11.2,05/30/2017 9:00 PM,OhioStreetBeach201705302100
30370,Ohio Street Beach,05/30/2017 10:00:00 PM,16.6,1.33,,0.187,3.0,11.1,05/30/2017 10:00 PM,OhioStreetBeach201705302200
30371,Ohio Street Beach,05/30/2017 11:00:00 PM,16.3,1.52,,0.187,3.0,11.2,05/30/2017 11:00 PM,OhioStreetBeach201705302300
30372,Ohio Street Beach,05/31/2017 12:00:00 AM,16.1,1.36,,0.187,3.0,11.2,05/31/2017 12:00 AM,OhioStreetBeach201705312400
30373,Ohio Street Beach,05/31/2017 01:00:00 AM,15.7,1.29,,0.187,3.0,11.1,05/31/2017 1:00 AM,OhioStreetBeach201705310100
30374,Ohio Street Beach,05/31/2017 02:00:00 AM,15.6,1.36,,0.187,3.0,11.1,05/31/2017 2:00 AM,OhioStreetBeach201705310200
30375,Ohio Street Beach,05/31/2017 03:00:00 AM,15.6,1.32,,0.187,3.0,11.1,05/31/2017 3:00 AM,OhioStreetBeach201705310300
30376,Ohio Street Beach,05/31/2017 04:00:00 AM,15.5,1.29,,0.187,3.0,11.1,05/31/2017 4:00 AM,OhioStreetBeach201705310400
30377,Ohio Street Beach,05/31/2017 05:00:00 AM,15.3,1.21,,0.187,3.0,11.1,05/31/2017 5:00 AM,OhioStreetBeach201705310500
30378,Ohio Street Beach,05/31/2017 06:00:00 AM,15.2,1.25,,0.187,3.0,11.1,05/31/2017 6:00 AM,OhioStreetBeach201705310600
30379,Ohio Street Beach,05/31/2017 07:00:00 AM,15.2,1.22,,0.187,3.0,11.1,05/31/2017 7:00 AM,OhioStreetBeach201705310700
30380,Ohio Street Beach,05/31/2017 08:00:00 AM,15.3,1.24,,0.187,3.0,11.1,05/31/2017 8:00 AM,OhioStreetBeach201705310800
30381,Calumet Beach,08/18/2016 02:00:00 AM,23.4,1.1,,0.11,4.0,11.7,08/18/2016 2:00 AM,CalumetBeach201608180200
30382,Montrose Beach,08/18/2016 02:00:00 AM,24.1,0.0,,0.147,3.0,11.3,08/18/2016 2:00 AM,MontroseBeach201608180200
30383,Ohio Street Beach,08/18/2016 02:00:00 AM,24.1,2.2,,0.073,3.0,10.4,08/18/2016 2:00 AM,OhioStreetBeach201608180200
30384,Calumet Beach,08/18/2016 04:00:00 AM,23.3,1.3,,0.095,3.0,11.7,08/18/2016 4:00 AM,CalumetBeach201608180400
30385,Montrose Beach,08/18/2016 04:00:00 AM,24.0,0.0,,0.141,4.0,11.3,08/18/2016 4:00 AM,MontroseBeach201608180400
30386,Ohio Street Beach,08/18/2016 04:00:00 AM,23.8,1.67,,0.084,4.0,10.4,08/18/2016 4:00 AM,OhioStreetBeach201608180400
30387,Ohio Street Beach,07/05/2017 03:00:00 AM,20.7,0.87,,0.187,3.0,11.1,07/05/2017 3:00 AM,OhioStreetBeach201707050300
30388,Calumet Beach,08/18/2016 03:00:00 AM,23.4,1.15,,0.106,6.0,11.7,08/18/2016 3:00 AM,CalumetBeach201608180300
30389,Montrose Beach,08/18/2016 03:00:00 AM,24.0,0.0,,0.151,5.0,11.3,08/18/2016 3:00 AM,MontroseBeach201608180300
30390,Ohio Street Beach,08/18/2016 03:00:00 AM,23.9,1.95,,0.076,3.0,10.4,08/18/2016 3:00 AM,OhioStreetBeach201608180300
30391,Calumet Beach,08/18/2016 05:00:00 AM,23.3,1.22,,0.114,2.0,11.7,08/18/2016 5:00 AM,CalumetBeach201608180500
30392,Montrose Beach,08/18/2016 05:00:00 AM,23.9,0.0,,0.135,4.0,11.3,08/18/2016 5:00 AM,MontroseBeach201608180500
